Expense Key,Employee ID,Cost Center,Category,Travel Date,From,To,Cabin Class,Distance (km),Hotel Name,Country,Nights,Ground Distance,Ground Unit,Amount,Currency
EXP-2023-00441,EMP-10234,CORP-STRATEGY,flight,2023-01-09,LHR,JFK,business,,,,,,,,4250.00,GBP
EXP-2023-00442,EMP-10234,CORP-STRATEGY,hotel,2023-01-09,,,,,The Peninsula New York,US,3,,,890.00,USD
EXP-2023-00443,EMP-10234,CORP-STRATEGY,taxi,2023-01-12,,,,,,,,,18,miles,52.00,USD
EXP-2023-00444,EMP-10234,CORP-STRATEGY,flight,2023-01-12,JFK,LHR,business,,,,,,,,4250.00,GBP
EXP-2023-00521,EMP-10891,SALES-EMEA,AIRFR,15/01/2023,LHR,AMS,economy,,,,,,,,189.00,GBP
EXP-2023-00522,EMP-10891,SALES-EMEA,HOTEL,15/01/2023,,,,,Hilton Amsterdam,NL,1,,,210.00,EUR
EXP-2023-00523,EMP-10891,SALES-EMEA,AIRFR,16/01/2023,AMS,LHR,economy,,,,,,,,189.00,GBP
EXP-2023-00601,EMP-11204,ENGINEERING,flight,2023-01-23,LHR,SIN,economy,,,,,,,,780.00,GBP
EXP-2023-00602,EMP-11204,ENGINEERING,hotel,2023-01-23,,,,,Marina Bay Sands,SG,4,,,1840.00,SGD
EXP-2023-00603,EMP-11204,ENGINEERING,taxi,2023-01-27,,,,,,,,,34,km,45.00,SGD
EXP-2023-00604,EMP-11204,ENGINEERING,flight,2023-01-27,SIN,LHR,economy,,,,,,,,780.00,GBP
EXP-2023-00721,EMP-10445,FINANCE,AIRFR,02/02/2023,LHR,FRA,economy,,,,,,,,156.00,GBP
EXP-2023-00722,EMP-10445,FINANCE,HOTEL,02/02/2023,,,,,Marriott Frankfurt,DE,1,,,195.00,EUR
EXP-2023-00723,EMP-10445,FINANCE,AIRFR,03/02/2023,FRA,LHR,economy,,,,,,,,156.00,GBP
EXP-2023-00801,EMP-10234,CORP-STRATEGY,flight,2023-02-14,LHR,DXB,business,,,,,,,,3200.00,GBP
EXP-2023-00802,EMP-10234,CORP-STRATEGY,hotel,2023-02-14,,,,,Atlantis The Palm,AE,2,,,1650.00,AED
EXP-2023-00803,EMP-10234,CORP-STRATEGY,car_rental,2023-02-14,,,,,,,,,280,km,320.00,AED
EXP-2023-00804,EMP-10234,CORP-STRATEGY,flight,2023-02-16,DXB,LHR,business,,,,,,,,3200.00,GBP
EXP-2023-00901,EMP-12003,HR,AIRFR,20/02/2023,LHR,EDI,economy,,,,,,,,89.00,GBP
EXP-2023-00902,EMP-12003,HR,HOTEL,20/02/2023,,,,,Balmoral Hotel Edinburgh,GB,1,,,175.00,GBP
EXP-2023-00903,EMP-12003,HR,AIRFR,21/02/2023,EDI,LHR,economy,,,,,,,,89.00,GBP
EXP-2023-01001,EMP-10891,SALES-EMEA,flight,2023-03-06,LHR,BCN,economy,,,,,,,,210.00,GBP
EXP-2023-01002,EMP-10891,SALES-EMEA,hotel,2023-03-06,,,,,Hotel Arts Barcelona,ES,2,,,480.00,EUR
EXP-2023-01003,EMP-10891,SALES-EMEA,taxi,2023-03-08,,,,,,,,,22,km,35.00,EUR
EXP-2023-01004,EMP-10891,SALES-EMEA,flight,2023-03-08,BCN,LHR,economy,,,,,,,,210.00,GBP
EXP-2023-01101,EMP-11204,ENGINEERING,AIRFR,14/03/2023,LHR,NRT,economy,,,,,,,,890.00,GBP
EXP-2023-01102,EMP-11204,ENGINEERING,HOTEL,14/03/2023,,,,,Park Hyatt Tokyo,JP,5,,,2250.00,JPY
EXP-2023-01103,EMP-11204,ENGINEERING,AIRFR,19/03/2023,NRT,LHR,economy,,,,,,,,890.00,GBP
EXP-2023-01201,EMP-10667,PRODUCT,flight,2023-03-27,LHR,LAX,premium_economy,,,,,,,,2100.00,GBP
EXP-2023-01202,EMP-10667,PRODUCT,hotel,2023-03-27,,,,,Shutters on the Beach,US,3,,,1450.00,USD
EXP-2023-01203,EMP-10667,PRODUCT,car_rental,2023-03-27,,,,,,,,,180,miles,320.00,USD
EXP-2023-01204,EMP-10667,PRODUCT,flight,2023-03-30,LAX,LHR,premium_economy,,,,,,,,2100.00,GBP
EXP-2023-01301,EMP-10234,CORP-STRATEGY,flight,2023-04-11,LHR,HKG,first,,,,,,,,8900.00,GBP
EXP-2023-01302,EMP-10234,CORP-STRATEGY,hotel,2023-04-11,,,,,The Upper House Hong Kong,HK,4,,,4200.00,HKD
EXP-2023-01303,EMP-10234,CORP-STRATEGY,flight,2023-04-15,HKG,LHR,first,,,,,,,,8900.00,GBP
EXP-2023-01401,EMP-10445,FINANCE,AIRFR,24/04/2023,LHR,CDG,economy,,,,,,,,145.00,GBP
EXP-2023-01402,EMP-10445,FINANCE,HOTEL,24/04/2023,,,,,Novotel Paris Centre,FR,2,,,380.00,EUR
EXP-2023-01403,EMP-10445,FINANCE,TAXGD,25/04/2023,,,,,,,,,15,km,28.00,EUR
EXP-2023-01404,EMP-10445,FINANCE,AIRFR,26/04/2023,CDG,LHR,economy,,,,,,,,145.00,GBP
EXP-2023-01501,EMP-12003,HR,mileage,2023-04-28,,,,,,,,,245,miles,112.00,GBP
EXP-2023-01601,EMP-10891,SALES-EMEA,flight,2023-05-09,LHR,MAD,economy,,,,,,,,195.00,GBP
EXP-2023-01602,EMP-10891,SALES-EMEA,hotel,2023-05-09,,,,,Mandarin Oriental Madrid,ES,2,,,590.00,EUR
EXP-2023-01603,EMP-10891,SALES-EMEA,flight,2023-05-11,MAD,LHR,economy,,,,,,,,195.00,GBP
EXP-2023-01701,EMP-11204,ENGINEERING,flight,2023-05-22,LHR,BRS,economy,,,,,,,,72.00,GBP
EXP-2023-01702,EMP-11204,ENGINEERING,taxi,2023-05-22,,,,,,,,,12,km,18.00,GBP
EXP-2023-01703,EMP-11204,ENGINEERING,flight,2023-05-23,BRS,LHR,economy,,,,,,,,72.00,GBP
EXP-2023-01801,EMP-10667,PRODUCT,AIRFR,05/06/2023,LHR,JFK,business,,,,,,,,4250.00,GBP
EXP-2023-01802,EMP-10667,PRODUCT,HOTEL,05/06/2023,,,,,Ace Hotel New York,US,3,,,780.00,USD
EXP-2023-01803,EMP-10667,PRODUCT,CARRT,05/06/2023,,,,,,,,,340,miles,420.00,USD
EXP-2023-01804,EMP-10667,PRODUCT,AIRFR,08/06/2023,JFK,LHR,business,,,,,,,,4250.00,GBP
EXP-2023-01901,EMP-10234,CORP-STRATEGY,flight,2023-06-19,LHR,ZRH,business,,,,,,,,890.00,GBP
EXP-2023-01902,EMP-10234,CORP-STRATEGY,hotel,2023-06-19,,,,,The Dolder Grand,CH,1,,,780.00,CHF
EXP-2023-01903,EMP-10234,CORP-STRATEGY,flight,2023-06-20,ZRH,LHR,business,,,,,,,,890.00,GBP
